Tract ID,County,Median_Household_Income,Year
3553.02,Contra Costa,161000.0,2010
3553.04,Contra Costa,128462.0,2010
3553.06,Contra Costa,117431.0,2010
3560.01,Contra Costa,79757.0,2010
3560.02,Contra Costa,105484.0,2010
3570,Contra Costa,78099.0,2010
3580,Contra Costa,54673.0,2010
3591.02,Contra Costa,65194.0,2010
3591.03,Contra Costa,78514.0,2010
3591.04,Contra Costa,68421.0,2010
3591.05,Contra Costa,102524.0,2010
3592.02,Contra Costa,92500.0,2010
3592.03,Contra Costa,73792.0,2010
3592.04,Contra Costa,105524.0,2010
3601.01,Contra Costa,87750.0,2010
3601.02,Contra Costa,123325.0,2010
3602,Contra Costa,62634.0,2010
3610,Contra Costa,63977.0,2010
3620,Contra Costa,89786.0,2010
3630,Contra Costa,70141.0,2010
3640.02,Contra Costa,66188.0,2010
3650.02,Contra Costa,40639.0,2010
3650.03,Contra Costa,59119.0,2010
3660.01,Contra Costa,68125.0,2010
3660.02,Contra Costa,42964.0,2010
3671,Contra Costa,52325.0,2010
3672,Contra Costa,51103.0,2010
3680.01,Contra Costa,49213.0,2010
3680.02,Contra Costa,47969.0,2010
3690.01,Contra Costa,31636.0,2010
3690.02,Contra Costa,63611.0,2010
3700,Contra Costa,74760.0,2010
3710,Contra Costa,56743.0,2010
3720,Contra Costa,66583.0,2010
3730,Contra Costa,36402.0,2010
3740,Contra Costa,46883.0,2010
3750,Contra Costa,41653.0,2010
3760,Contra Costa,27031.0,2010
3770,Contra Costa,29920.0,2010
3780,Contra Costa,72708.0,2010
3790,Contra Costa,35531.0,2010
3800,Contra Costa,61443.0,2010
3810,Contra Costa,42883.0,2010
3820,Contra Costa,41726.0,2010
3830,Contra Costa,50366.0,2010
3840,Contra Costa,103446.0,2010
3851,Contra Costa,105250.0,2010
3852,Contra Costa,121667.0,2010
3860,Contra Costa,47679.0,2010
3870,Contra Costa,71065.0,2010
3880,Contra Costa,75855.0,2010
3891,Contra Costa,63750.0,2010
3892,Contra Costa,42411.0,2010
3901,Contra Costa,84125.0,2010
3902,Contra Costa,114318.0,2010
3910,Contra Costa,120341.0,2010
3920,Contra Costa,128125.0,2010
3922,Contra Costa,78361.0,2010
3923,Contra Costa,120000.0,2010
4001,Alameda,173472.0,2010
4002,Alameda,95833.0,2010
4003,Alameda,52314.0,2010
4004,Alameda,79071.0,2010
4005,Alameda,52076.0,2010
4006,Alameda,47792.0,2010
4007,Alameda,38790.0,2010
4008,Alameda,37143.0,2010
4009,Alameda,50341.0,2010
401,San Francisco,56812.0,2010
4010,Alameda,41588.0,2010
4011,Alameda,40539.0,2010
4012,Alameda,68398.0,2010
4013,Alameda,26897.0,2010
4014,Alameda,24861.0,2010
4015,Alameda,26311.0,2010
4016,Alameda,36820.0,2010
4017,Alameda,48229.0,2010
4018,Alameda,27520.0,2010
402,San Francisco,69564.0,2010
4022,Alameda,28269.0,2010
4024,Alameda,22226.0,2010
4025,Alameda,27500.0,2010
4026,Alameda,21792.0,2010
4027,Alameda,33922.0,2010
4028,Alameda,18013.0,2010
4029,Alameda,18706.0,2010
4030,Alameda,17349.0,2010
4031,Alameda,31719.0,2010
4033,Alameda,63913.0,2010
4034,Alameda,45194.0,2010
4035.01,Alameda,30235.0,2010
4035.02,Alameda,61367.0,2010
4036,Alameda,56458.0,2010
4037.01,Alameda,55674.0,2010
4037.02,Alameda,65083.0,2010
4038,Alameda,75614.0,2010
4039,Alameda,73528.0,2010
4040,Alameda,62212.0,2010
4041.01,Alameda,70042.0,2010
4041.02,Alameda,49824.0,2010
4042,Alameda,144554.0,2010
4043,Alameda,192083.0,2010
4044,Alameda,129266.0,2010
