Tract ID,County,25_Plus_Bachelors_Degree_Or_Higher_Count,Year
2508.01,Solano,23.4,2010
2509,Solano,20.8,2010
251,San Francisco,68.80000000000001,2010
2510,Solano,29.4,2010
2511,Solano,12.600000000000001,2010
2512,Solano,19.1,2010
2513,Solano,25.1,2010
2514,Solano,21.4,2010
2515,Solano,10.2,2010
2516,Solano,16.0,2010
2517.01,Solano,24.700000000000003,2010
2517.02,Solano,29.1,2010
2518.02,Solano,14.6,2010
2518.03,Solano,14.600000000000001,2010
2518.04,Solano,22.8,2010
2519.01,Solano,15.0,2010
2519.02,Solano,16.1,2010
2519.03,Solano,20.8,2010
252,San Francisco,57.099999999999994,2010
2520,Solano,30.9,2010
2521.02,Solano,27.700000000000003,2010
2521.03,Solano,28.1,2010
2521.04,Solano,51.599999999999994,2010
2521.05,Solano,40.5,2010
2521.06,Solano,45.3,2010
2521.07,Solano,50.3,2010
2521.08,Solano,41.3,2010
2522.01,Solano,46.099999999999994,2010
2522.02,Solano,31.9,2010
2523.05,Solano,23.6,2010
2523.06,Solano,24.0,2010
2523.10,Solano,50.8,2010
2523.11,Solano,41.900000000000006,2010
2523.12,Solano,30.6,2010
2523.13,Solano,31.2,2010
2523.14,Solano,16.0,2010
2523.15,Solano,27.4,2010
2523.16,Solano,14.0,2010
2523.17,Solano,31.799999999999997,2010
2524.01,Solano,9.5,2010
2524.02,Solano,12.6,2010
2525.01,Solano,6.6,2010
2525.02,Solano,7.7,2010
2526.04,Solano,12.4,2010
2526.05,Solano,11.3,2010
2526.06,Solano,8.4,2010
2526.07,Solano,9.2,2010
2526.08,Solano,8.3,2010
2526.10,Solano,10.5,2010
2526.11,Solano,18.2,2010
2527.02,Solano,25.8,2010
2527.03,Solano,23.700000000000003,2010
2527.04,Solano,11.600000000000001,2010
2527.05,Solano,16.6,2010
2527.06,Solano,19.7,2010
2527.07,Solano,16.1,2010
2528.01,Solano,18.6,2010
2528.02,Solano,60.4,2010
2529.03,Solano,29.6,2010
2529.04,Solano,26.799999999999997,2010
