Tract ID,County,Estimate!!Total,Year
4431.03,Alameda,4107,2023
4431.04,Alameda,5301,2023
4431.05,Alameda,4616,2023
4432,Alameda,3451,2023
4433.01,Alameda,4178,2023
4433.21,Alameda,3323,2023
4433.22,Alameda,3284,2023
4441,Alameda,7198,2023
4442,Alameda,6271,2023
4443.01,Alameda,3774,2023
4443.03,Alameda,0,2023
4443.04,Alameda,6809,2023
4444,Alameda,5174,2023
4445,Alameda,7024,2023
4446.01,Alameda,6005,2023
4446.02,Alameda,4890,2023
4501.01,Alameda,6725,2023
4501.02,Alameda,7880,2023
4502,Alameda,5809,2023
4503,Alameda,4967,2023
4504,Alameda,7676,2023
4505.01,Alameda,3310,2023
4505.02,Alameda,6066,2023
4506.01,Alameda,3631,2023
4506.03,Alameda,4573,2023
4506.04,Alameda,4983,2023
4506.05,Alameda,3742,2023
4506.06,Alameda,5946,2023
4506.07,Alameda,5430,2023
4506.08,Alameda,4187,2023
4506.09,Alameda,4824,2023
4507.01,Alameda,8674,2023
4507.41,Alameda,5469,2023
4507.42,Alameda,5169,2023
4507.43,Alameda,7627,2023
4507.44,Alameda,5750,2023
4507.45,Alameda,6287,2023
4507.46,Alameda,3385,2023
4507.50,Alameda,6698,2023
4507.51,Alameda,12521,2023
4507.52,Alameda,9502,2023
4511.02,Alameda,3892,2023
4511.03,Alameda,1448,2023
4511.04,Alameda,6880,2023
4512.01,Alameda,7292,2023
4512.02,Alameda,5549,2023
4513,Alameda,6235,2023
4514.01,Alameda,5969,2023
4514.03,Alameda,2145,2023
4514.04,Alameda,6594,2023
4515.01,Alameda,4533,2023
4515.03,Alameda,6053,2023
4515.04,Alameda,1493,2023
4515.05,Alameda,3191,2023
4515.06,Alameda,3398,2023
4516.01,Alameda,4866,2023
4516.02,Alameda,6767,2023
4517.01,Alameda,3108,2023
4517.03,Alameda,3989,2023
4517.04,Alameda,4593,2023
9819,Alameda,9,2023
9820,Alameda,69,2023
9821,Alameda,1099,2023
9832,Alameda,1038,2023
9900,Alameda,0,2023
3010,Contra Costa,5451,2023
3020.05,Contra Costa,7321,2023
3020.06,Contra Costa,4242,2023
3020.07,Contra Costa,7344,2023
3020.09,Contra Costa,6707,2023
3020.11,Contra Costa,5597,2023
3020.12,Contra Costa,5742,2023
3020.13,Contra Costa,2732,2023
3020.14,Contra Costa,7610,2023
3031.04,Contra Costa,6362,2023
3031.05,Contra Costa,3504,2023
3031.06,Contra Costa,8543,2023
